t	f_px	dist_m	gsd_cm	obj8px_cm	status
0.0	4895	2123	43.4	347	ok
2.0	6182	2090	33.8	270	ok
4.0	6410	2061	32.1	257	ok
6.0	6410	2061	32.1	257	ok
8.0	6410	2061	32.1	257	ok
10.0	6410	1908	29.8	238	ok
12.0	6410	1908	29.8	238	ok
14.0	6410	1845	28.8	230	ok
16.0	6182	1701	27.5	220	ok
18.0	4550	1663	36.5	292	ok
20.0	3136	1604	51.2	409	ok
22.0	4659	1603	34.4	275	ok
24.0	3136	1861	59.4	475	ok
26.0	3136	1862	59.4	475	ok
28.0	3136	1862	59.4	475	ok
30.0	4659	1867	40.1	321	ok
32.0	4659	1867	40.1	321	ok
34.0	3136	1867	59.6	476	ok
36.0	3136	1994	63.6	509	ok
38.0	3136	1951	62.2	498	ok
40.0	2985	1505	50.4	403	ok
42.0	2835	1126	39.7	318	ok
44.0	2677	814	30.4	243	ok
46.0	2677	814	30.4	243	ok
48.0	2677	814	30.4	243	ok
50.0	2677	826	30.9	247	ok
52.0	2677	862	32.2	258	ok
54.0	2677	897	33.5	268	ok
56.0	2519	944	37.5	300	ok
58.0					no_focal
60.0					no_focal
62.0					no_focal
64.0					no_focal
66.0					no_focal
68.0					no_focal
70.0					no_focal
72.0					no_focal
74.0					no_focal
76.0					no_focal
78.0					no_focal
80.0					no_focal
82.0					no_focal
84.0	1308	1789	136.7	1094	ok
86.0	1308	1789	136.7	1094	ok
88.0	1308	1791	136.9	1095	ok
90.0	1308	1803	137.8	1102	ok
92.0	1308	1748	133.6	1069	ok
94.0	2563	1689	65.9	527	ok
96.0	3817	1683	44.1	353	ok
98.0	3817	1681	44.0	352	ok
100.0	3817	1671	43.8	350	ok
102.0	4967	1664	33.5	268	ok
104.0	4967	1720	34.6	277	ok
106.0	4967	1868	37.6	301	ok
108.0	4967	1755	35.3	283	ok
110.0	4967	1711	34.4	276	ok
112.0	4967	1711	34.5	276	ok
114.0	6116	1798	29.4	235	ok
116.0	6116	1887	30.9	247	ok
118.0	6116	1887	30.9	247	ok
120.0	6116	1887	30.9	247	ok
122.0	6116	1937	31.7	253	ok
124.0					no_focal
126.0					no_focal
128.0	6116	1957	32.0	256	ok
130.0	6116	1966	32.1	257	ok
132.0	6116	1961	32.1	257	ok
134.0					no_focal
136.0					no_focal
138.0					no_focal
140.0					no_focal
142.0					no_focal
144.0					no_focal
146.0					no_focal
148.0					no_focal
150.0					no_focal
152.0					no_focal
154.0					no_focal
156.0					no_focal
158.0					no_focal
160.0					no_focal
162.0					no_focal
164.0					no_focal
166.0					no_focal
168.0					no_focal
